"","id.p","is.mottles","is.concr","thick.A","a_S.A","a_sat_CEC.A","esp.A","esp.B","a_OC.A","Bt","is.caco3","d.caco3","is.E","is.hydro","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","X","Y"
"61",445,0,1,31,13.9612903225806,78.6774193548387,0.993530499075786,0.526436255436027,1.57354838709677,1.29598662207358,0,NA,1,0,75.1337890625,109421.5390625,547.464050292969,-4.4022011756897,2.90141820907593,0.296585768461227,12.1414756774902,3.42986297607422,0,296.752058635039,7.42047418933469,3565.97222222222,1913.81270665289,5403471.67799974,6235427.97801857
"62",447,0,0,28,17.15,80.5,1.16618075801749,1.15317667536989,1.665,1.13595687331536,0,NA,0,0,96.4747695922852,126162.6953125,234.314086914062,-0.512519359588623,3.62367129325867,0.222663581371307,11.9110546112061,2.96945953369141,0,296.541056942485,7.18057649689834,3599.39583333333,2381.25593652326,5394653.57799772,6220861.27802017
"63",448,0,0,29,20.9241379310345,90.4137931034483,1.1865524060646,1.31578947368421,2.25551724137931,1.1213785046729,0,NA,0,0,99.5011367797852,120356.28125,174.933486938477,-6.11270380020142,4.65673589706421,0.0201021246612072,15.6157350540161,1.51631164550781,0,296.801681518555,7.24725410720375,3461.54166666667,2407.60521086797,5388997.377997,6234384.9780222
"69",457,0,0,19,18.3,89,0.546448087431694,0.492610837438424,1.92,1.3215859030837,0,NA,0,0,64.8775482177734,111453.546875,276.594116210938,-20.4720134735107,0.761948585510254,0.89063549041748,10.8583784103394,2.85033416748047,0,296.611769909704,7.25978935924227,3611.95833333333,1628.61522917027,5427353.67799971,6211180.97801833
"74",463,0,0,28,15.5964285714286,83.2142857142857,2.26700251889169,2.64900662251656,1.7175,1.08161044613711,0,NA,0,0,91.0913238525391,138901.546875,483.749084472656,-5.55379962921143,5.43315267562866,0.0278087612241507,11.8637962341309,0.192764282226562,0,296.418144754177,7.29488614061868,3818.03472222222,1675.23502333294,5392482.17799705,6205678.67801683
"75",464,0,0,23,14.0347826086957,80.304347826087,2.85006195786865,2.72108843537415,1.88391304347826,1.33183760683761,0,NA,0,0,90.5295486450195,133624.8125,84.8552017211914,-11.978590965271,3.78819727897644,0.20798859000206,13.6120767593384,-0.564590454101562,0.0344827584922314,296.548011880911,7.40972919886277,3384.86111111111,1704.88083217087,5397134.97800182,6208422.57802266
"76",465,0,0,28,16.7607142857143,78.5714285714286,1.78989985084168,1.93208430913349,2.08107142857143,1.02932418524871,0,NA,0,0,99.5977020263672,131268.359375,436.818908691406,4.68494319915771,3.30561399459839,0.0189866255968809,11.2012691497803,6.21621704101562,0,296.577206241383,7.20483135110388,3626.45138888889,2037.00128850442,5395982.07799668,6213028.47802727
"77",467,0,0,32,21.4,78.1875,0.934579439252337,1.29752564876282,2.49375,1.03210174385968,0,NA,0,0,90.9610061645508,138800.59375,453.995178222656,-11.8088235855103,5.07338523864746,0.0725163221359253,12.8607110977173,-0.335151672363281,0,296.418144754177,7.29488614061868,3512.42361111111,1896.59724586035,5392476.67800142,6205857.17802107
"78",469,0,0,25,16.904,83.32,1.18315191670611,1.24223602484472,1.5744,1.10229276895944,0,NA,0,0,76.9685211181641,128480.203125,234.314086914062,-0.464633166790009,3.62737774848938,0.0895206332206726,11.6676206588745,5.34304809570312,0,296.69255509933,7.40933948123291,3120.22916666667,1937.17307088343,5410066.97799825,6203218.67802093
"79",470,0,0,24,13.6583333333333,85.6666666666667,2.19646125686394,2.36686390532544,1.735,1.4949143052661,0,NA,0,0,82.1836700439453,122620.359375,512.654663085938,-4.38141584396362,4.22536611557007,0.0932598188519478,14.2218608856201,0.202476501464844,0,296.500206060773,7.22946746141947,3155.25,2042.22533396423,5403328.27799618,6217945.37802336
"80",471,0,0,13,16.2,80,1.23456790123457,1.27182333217713,2.16,1.23924709651582,0,NA,0,0,85.9719619750977,124541.671875,108.169586181641,-6.8415732383728,4.91411781311035,0.0376739948987961,18.6901187896729,0.376914978027344,0,296.393303660165,7.18003574312025,3245.46527777778,2218.5529080414,5407370.07800376,6211021.9780166
"81",472,0,0,31,15.6387096774194,75.6129032258064,1.27887788778878,1.33333333333333,2.05032258064516,1.27116402116402,0,NA,0,0,100.050003051758,128597.0390625,948.710021972656,2.12908673286438,3.53783679008484,0.0651300475001335,13.0118818283081,7.70603179931641,0,296.696222174045,7.31195666994261,3399.04166666667,2343.76745270891,5395747.57800347,6216718.878024
"85",476,0,0,26,16.3,89,1.22699386503067,1.13390928725702,1.77,1.39771101573677,0,NA,0,0,81.0484924316406,115738.9921875,1632.22241210938,-3.41649794578552,5.86354923248291,0.0823229849338531,11.4706439971924,4.34503173828125,0,296.761529137106,7.18304390660981,3734.11805555556,2241.98692315272,5408136.97800224,6222910.278022
