"","idp","clay.A","clay.B","clay.C","cec.A","cec.B","cec.C","oc.A","oc.B","oc.C","dem","twi","vdchn","evim","evisd","lstm","lstsd","ndwi.a","ndwi.b","X","Y"
"71",7668,27.3999996,42.1120701517241,23.7000008,17.5,29.7051725448276,26,1.49000001,0.557413789258621,0.129999995,523.162414550781,7.20399332046509,9.48577880859375,25896165.8031088,19512632.2670218,294.697979094077,10.3295595475477,0.0812151947380631,-0.15986607910716,418096.148435538,236813.141933664
"72",7669,27.2000008,41.1135139040541,25.842857784127,19.7000008,29.9027031581081,25.2365072952381,1.83000004,0.705945943608108,0.151904763301587,515.260681152344,6.53201818466187,6.59490966796875,24526606.2176166,19442764.8115503,295.162179261863,10.7600776623031,0.040626505992822,-0.163452573590299,422323.05783711,257835.100934807
"73",7919,27.2707319609756,33.1382984170213,31,20.5951218439024,26.5712765617021,22.1000004,1.49926830243902,0.572446815808511,0.330000013,442.585571289062,9.01786136627197,10.1476135253906,27190284.9740933,11303439.5257985,294.606017391304,10.7481142645396,-0.0204643347528183,-0.107907420590422,493635.440387551,258590.96486706
"74",7920,39.41999892,38.4779225701299,31.1000004,30.37999952,28.8974024727273,29.6000004,2.671999936,0.634025981064935,0.150000006,384.487335205078,6.91993379592896,13.2999877929688,28846658.0310881,19561178.9534524,294.80810619469,10.8080255898949,0.0588485397093574,-0.127872093342867,514059.974815357,288308.71338084
"75",8021,23.3999996,43.0634909920635,30.7999992,20.7999992,30.5857145650794,27.8999996,2.29999995,0.741904763634921,0.159999996,491.556182861328,8.03395175933838,3.11383056640625,25205932.642487,19311997.422654,294.840418848168,10.651514346149,0.063497967185491,-0.18496828034049,442347.953819877,240086.202849447
"76",8022,22.8999996,32.9224722606742,25.1813954697674,19,23.5191010876405,19.7511631906977,2.25,0.611685398033708,0.116046507860465,499.345062255859,6.715895652771,4.4747314453125,28081891.1917098,12816457.0057539,295.672486956522,10.5588782551161,-0.036952231293929,-0.117179376921266,410482.300978731,204346.204237447
"77",8445,21.7999992,23.1787879575758,19.1000004,17.3999996,18.2348483030303,16.7000008,1.01999998,0.428787865939394,0.159999996,685.747009277344,13.9066314697266,4.83074951171875,23725103.626943,10708132.5382518,297.018701754386,11.0401697790824,-0.0721082980737768,-0.145719253098194,285709.451200372,218236.567691351
"78",8618,19.2363640363636,40.4430383544304,28.2607594987342,15.1090908,27.9848095088608,24.4544301721519,1.36636364545455,0.631772157962025,0.225063292670886,457.460235595703,8.2371883392334,11.1253051757812,26217020.7253886,18170718.2222183,295.177212543554,10.0121561314992,0.0788363280604752,-0.155027834646286,413824.350253831,166677.953183844
"79",8761,45.1304357608696,51.6648357582418,31.4235296941176,37.0565206956522,35.7582419340659,23.641177,1.87782604391304,0.800988979274725,0.318235292823529,411.066802978516,10.2137622833252,0,28248445.5958549,16617066.8069267,297.182530329289,10.715463053337,-0.0879823435398541,0.0183775435355726,399689.22179979,119677.369860431
"80",8762,17.3999996,30.7590169131148,30.7875005875,18.7000008,23.337705547541,26.01458385,2.55999994,0.328196710032787,0.108749996877083,692.697204589844,7.11487007141113,12.7748413085938,22587383.4196891,10170464.0685413,299.060034782609,10.8773931404491,-0.0936495954074469,-0.12548940966507,261444.257232163,104314.762647422
