,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
2259,802,802_B21,B,38,70,32,24.2,27.6,6,4.4,1769,0.7,43.2,25.5,5.9,2,2,clase 5,NA,2.2,71.8827133179,55472.93359375,0,-7.9066076279,4.5404896736,0.0339975394,12.5795116425,2.3105926514,1.931034565,296.9130689534,7.9378604218,4098.0416666667,1345.2208744474,0.0215075314,-0.0808956623,0.0469461255,5468910.53782881,6249807.78623401
2260,802,802_B31,BC,130,180,50,22.8,24.3,6.5,4.7,2163,0.1,31.4,29.8,7.5,2,2,clase 5,NA,2.2,71.8827133179,55472.93359375,0,-7.9066076279,4.5404896736,0.0339975394,12.5795116425,2.3105926514,1.931034565,296.9130689534,7.9378604218,4098.0416666667,1345.2208744474,0.0215075314,-0.0808956623,0.0469461255,5468910.53782881,6249807.78623401
2261,802,802_B32,BC,180,220,40,28.2,27.9,7.5,6.1,1655,0.07,25.6,33.1,7.3,2,2,clase 5,NA,2.2,71.8827133179,55472.93359375,0,-7.9066076279,4.5404896736,0.0339975394,12.5795116425,2.3105926514,1.931034565,296.9130689534,7.9378604218,4098.0416666667,1345.2208744474,0.0215075314,-0.0808956623,0.0469461255,5468910.53782881,6249807.78623401
2262,802,802_C,C,220,250,30,NA,25,7.8,6.5,1787,0.06,24,32.6,7.9,2,2,clase 5,NA,2.2,71.8827133179,55472.93359375,0,-7.9066076279,4.5404896736,0.0339975394,12.5795116425,2.3105926514,1.931034565,296.9130689534,7.9378604218,4098.0416666667,1345.2208744474,0.0215075314,-0.0808956623,0.0469461255,5468910.53782881,6249807.78623401
2263,803,803_A1,A,0,9,9,14.2,17.2,6.4,5.3,4682,2.26,20.4,27,11.2,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2264,803,803_A3,AB.BA,9,22,13,14.5,16.1,7.9,5.8,4457,1.26,24.2,26.3,8.3,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2265,803,803_B21,B,22,45,23,29.6,29.6,9.1,7.1,810,0.5,38.4,23,4.2,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2266,803,803_B22,B,45,70,25,NA,27.5,9.4,7.5,1013,0.24,33.4,21.3,11.8,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2267,803,803_B32,BC,113,140,27,18.5,19.9,7.9,5.4,3635,0.1,16.8,25.5,19.3,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2268,803,803_B31,BC,70,113,43,NA,23,9,7.1,1418,0.12,21.6,22.1,18.1,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2269,803,803_C,C,140,160,20,22.8,24.2,8,5.7,2836,0.05,18.8,25.8,14.7,2,2,clase 5,clase 2,2.2,28.9645786285,60667.8671875,42.4276008606,-6.8008995056,6.766438961,0.0331196859,21.7185974121,-0.0006160736,0.2068965584,295.8845063829,7.5875310013,3623.2638888889,934.6614134796,-0.0429552836,-0.0624317075,0.0387578398,5554607.05157225,6169441.82385428
2270,804,804_A11,A,0,23,23,20.5,24.8,6.3,5.2,6077,2.81,25.6,25.1,14,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2271,804,804_A12,A,23,35,12,16.4,19.7,6.1,5,7906,1.8,23.2,24.8,16.9,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2272,804,804_B21,B,50,87,37,21.3,25.5,6.4,4.8,2913,0.37,37.8,18.9,15.2,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2273,804,804_B22,B,87,123,36,19.9,23.5,6.6,4.8,3329,0.23,27.3,23.2,14.8,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2274,804,804_B23,B,123,157,34,18.2,22.3,6.6,4.6,4161,0.14,26.6,20.5,19.1,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2275,804,804_B3,BC,157,177,20,21.3,22.9,6.8,4.7,3121,0.09,23.2,26.6,12.6,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2276,804,804_A2,E,35,50,15,9,11.3,6.3,4.9,1248,0.39,15.4,26.7,20.6,3,3,clase 5,clase 3,3.3,34.1613693237,65293.59375,0,-15.5446653366,4.9125747681,0.0870422199,18.4935626984,0.0317764282,1.8965517282,296.184572473,7.9267340954,3473.5138888889,838.1899244539,-0.0418884148,-0.0520614944,0.0337945925,5548924.39313411,6169473.63010753
2277,805,805_A12,A,16,28,12,13.9,19.3,6.2,4.8,7418,1.56,25.4,28.5,10.8,1,1,clase 1,NA,1.1,73.7513046265,60701.6953125,0,-3.9102222919,4.8620958328,0.053854581,15.7896957397,0.0088119507,2,297.0673046983,7.6854339589,3453.3958333333,2012.7865498773,0.0277236427,-0.1037045614,0.0742446764,5462168.17799803,6248518.07802404
2278,805,805_A11,A,0,16,16,13.6,20.5,5.6,4.4,7064,2.85,26.9,30.2,9,1,1,clase 1,NA,1.1,73.7513046265,60701.6953125,0,-3.9102222919,4.8620958328,0.053854581,15.7896957397,0.0088119507,2,297.0673046983,7.6854339589,3453.3958333333,2012.7865498773,0.0277236427,-0.1037045614,0.0742446764,5462168.17799803,6248518.07802404
2279,805,805_B22,B,65,95,30,23.1,24.3,7,5,6712,0.11,35,28.5,9,1,1,clase 1,NA,1.1,73.7513046265,60701.6953125,0,-3.9102222919,4.8620958328,0.053854581,15.7896957397,0.0088119507,2,297.0673046983,7.6854339589,3453.3958333333,2012.7865498773,0.0277236427,-0.1037045614,0.0742446764,5462168.17799803,6248518.07802404
2280,805,805_B21,B,28,65,37,27.1,31.2,6.7,5,7064,0.84,46.4,26.6,6.9,1,1,clase 1,NA,1.1,73.7513046265,60701.6953125,0,-3.9102222919,4.8620958328,0.053854581,15.7896957397,0.0088119507,2,297.0673046983,7.6854339589,3453.3958333333,2012.7865498773,0.0277236427,-0.1037045614,0.0742446764,5462168.17799803,6248518.07802404
2281,805,805_B3,BC,95,170,75,18.9,22.2,7.2,5,6712,0.11,26.6,26.8,12.2,1,1,clase 1,NA,1.1,73.7513046265,60701.6953125,0,-3.9102222919,4.8620958328,0.053854581,15.7896957397,0.0088119507,2,297.0673046983,7.6854339589,3453.3958333333,2012.7865498773,0.0277236427,-0.1037045614,0.0742446764,5462168.17799803,6248518.07802404
2282,805,805_C,C,170,190,20,27,26.8,7,5.2,6369,0.1,27.3,25.1,10.2,1,1,clase 1,NA,1.1,73.7513046265,60701.6953125,0,-3.9102222919,4.8620958328,0.053854581,15.7896957397,0.0088119507,2,297.0673046983,7.6854339589,3453.3958333333,2012.7865498773,0.0277236427,-0.1037045614,0.0742446764,5462168.17799803,6248518.07802404
2283,806,806_Ap,A,0,13,13,20.5,23,6,5.2,4807,1.83,27.1,26.5,7.9,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2284,806,806_A12,A,13,27,14,20.9,23.9,6.3,5.5,4437,1.51,30.5,23.7,10,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2285,806,806_B1,AB.BA,27,36,9,18.6,21.6,6.5,5.5,3697,0.93,29.2,28.1,10.5,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2286,806,806_B21,B,36,60,24,29.2,32,6.6,5.4,2736,0.77,46.5,17.1,8.7,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2287,806,806_B22,B,60,87,27,28,31,6.6,5.2,2514,0.52,40.3,21.4,10,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2288,806,806_B32,BC,105,150,45,27,30,6.8,5.1,2126,0.28,33.2,27.1,4.2,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2289,806,806_B31,BC,87,105,18,25.6,27.1,6.5,5.1,2414,0.33,29,26.9,9.6,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2290,806,806_C,C,150,180,30,27.4,29.8,6.8,5.1,2342,0.25,30,28.5,7.5,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2291,806,806_Cca,C,180,220,40,NA,30,8,6.9,1837,0.12,NA,NA,NA,3,3,clase 5,NA,3.3,63.3568191528,53358.58203125,429.5467224121,8.8652162552,5.6095738411,0.0666378662,10.9979171753,8.4683570862,0,297.1397348741,7.9367465575,3463.5972222222,1499.7694010134,0.0331653062,-0.1002742725,0.0552183461,5478914.87799781,6245630.17802463
2292,807,807_A11,A,0,15,15,20.7,25.3,5.7,5.1,3782,1.89,27.3,29.5,6,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2293,807,807_A12,A,15,29,14,20,24.6,5.8,5.1,4143,1.68,28.1,29.1,8.2,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2294,807,807_B1,AB.BA,29,41,12,19.6,23.3,5.9,5,4323,0.95,31.5,25.3,9.1,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2295,807,807_B22,B,70,94,24,30.5,32.9,6.5,5,2090,0.46,46.2,20.5,7.4,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2296,807,807_B23,B,94,114,20,27.6,29.4,6.9,5.3,2126,0.25,33.1,26.3,10.4,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2297,807,807_B21,B,41,70,29,31.8,36.3,6.2,4.8,2378,0.67,63.2,17.4,6.1,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2298,807,807_B32,BC,144,170,26,27.5,28.8,7.1,5.4,1788,0.14,25.5,32,7.6,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2299,807,807_B31,BC,114,144,30,28,30.3,6.9,5.1,1898,0.24,37.5,24.7,9.4,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2300,807,807_Cca,C,170,200,30,NA,28.6,8,7,1679,0.13,NA,NA,NA,3,3,clase 5,NA,3.3,49.510635376,39549.7265625,270.007598877,-2.4637525082,2.9033021927,0.2776270509,12.027217865,2.4295730591,0,297.0035638599,7.7792567458,3935.3541666667,1794.1589940879,0.0513596543,-0.1483312735,0.05558534,5499789.97800166,6245618.17802215
2301,808,808_Ap,A,0,16,16,NA,32.4,7.5,6.9,2336,3.5,NA,NA,NA,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2302,808,808_A12,A,16,34,18,29.1,27.1,7.6,6.9,3504,1.58,21.9,33.1,10.1,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2303,808,808_B1,AB.BA,34,48,14,22,20.8,7.6,6.7,3321,0.59,26.7,27.2,10.2,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2304,808,808_B21,B,48,85,37,34.5,33.7,7.7,6.5,1277,0.53,38.7,23.2,8.3,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2305,808,808_B22,B,85,104,19,29.6,28.8,7.9,6.4,1154,0.35,25,30.2,12,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2306,808,808_B32,BC,145,180,35,32.8,31,7.8,6.4,745,0.18,24.5,30.6,9.5,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2307,808,808_B31,BC,104,145,41,26.7,28,7.9,6.3,1191,0.22,22.9,30.8,13,3,3,clase 5,NA,3.3,64.2690200806,44752.984375,67.0839309692,-2.748329401,3.7064743042,0.1413958967,11.9120264053,2.1963310242,0.068965517,296.9024777483,7.7900926164,3393.5694444444,1948.9342242694,0.0264743817,-0.0944619395,0.1017061469,5485833.07800054,6250856.57802007
2308,809,809_A12,A,13,26,13,19.1,23,5.6,4.8,2829,1.91,23.4,32.9,10.2,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2309,809,809_Ap,A,0,13,13,18.2,23.2,5.7,4.9,4839,1.91,24.8,26.4,9.3,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2310,809,809_B1,AB.BA,26,38,12,17.4,19.5,6,4.9,4478,1.04,29.9,23.9,11.2,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2311,809,809_B22,B,70,108,38,26.8,28.5,6.8,5,2308,0.46,42.6,20.3,10.1,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2312,809,809_B21,B,38,70,32,27,29,6.3,4.8,2345,0.68,45.5,19.5,9.5,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2313,809,809_B31,BC,108,158,50,21.6,23,6.8,5,2792,0.24,21.3,26.2,13.2,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2314,809,809_C,C,158,180,22,19.8,20.7,6.7,5,3723,0.12,15.4,24.8,13.9,3,3,clase 5,NA,3.3,60.691608429,42051.74609375,466.7036132813,2.5548050404,3.7143974304,0.1657906175,11.7982807159,5.2183570862,0,297.0152494369,7.8392325659,3634.7777777778,1835.2538264814,0.0264109817,-0.1308115052,0.0939814811,5484145.6779977,6256301.37801885
2315,811,811_A12,A,13,25,12,18,19.1,7,5.6,2941,1,21.3,31.4,10,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2316,811,811_A11,A,0,13,13,15.7,19.1,5.4,4.8,2308,2.36,22.2,28.2,9.5,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2317,811,811_B22,B,45,75,30,NA,33.4,9.1,7.2,558,0.32,NA,NA,NA,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2318,811,811_B21,B,25,45,20,22.9,23.8,8.4,6.4,1098,0.56,28.2,28.2,10.2,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2319,811,811_B23,B,75,100,25,NA,32.9,9.2,7.3,577,0.27,NA,NA,NA,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2320,811,811_B31,BC,100,128,28,NA,29,9.1,7.3,591,0.19,NA,NA,NA,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2321,811,811_B32,BC,128,180,52,24.7,24.7,8.6,6.6,1257,0.15,12.6,27.7,16,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2322,811,811_c,C,180,200,20,NA,28.5,8.7,7,1553,0.12,NA,NA,NA,2,2,clase 4,NA,2.2,44.7678146362,34040.703125,474.3550109863,-0.8745294213,4.5962696075,0.1208029017,12.7511825562,1.8244781494,0,296.7915589725,7.9130685829,3854.1875,832.5380435563,-0.0521643731,-0.0593542765,0.0376421558,5497220.57800132,6254926.97802428
2323,812,812_A12,A,17,30,13,17.1,21,6.2,5,6712,1.52,32.1,37.3,4.5,1,1,clase 1,NA,1.1,63.9861450195,44720.70703125,361.258026123,-7.7138366699,3.9253315926,0.137367785,12.618596077,1.2123527527,0,296.9024777483,7.7900926164,3236.3055555556,1915.803945901,0.0268608629,-0.0847296991,0.0864834852,5486305.077997,6250421.57802093
2324,812,812_A11,A,0,17,17,16.2,21.3,5.8,4.7,7064,2.02,30,36.8,4.6,1,1,clase 1,NA,1.1,63.9861450195,44720.70703125,361.258026123,-7.7138366699,3.9253315926,0.137367785,12.618596077,1.2123527527,0,296.9024777483,7.7900926164,3236.3055555556,1915.803945901,0.0268608629,-0.0847296991,0.0864834852,5486305.077997,6250421.57802093
2325,812,812_B21,B,30,85,55,27.8,30.6,7.1,5.3,7064,0.39,48.5,26.9,5.6,1,1,clase 1,NA,1.1,63.9861450195,44720.70703125,361.258026123,-7.7138366699,3.9253315926,0.137367785,12.618596077,1.2123527527,0,296.9024777483,7.7900926164,3236.3055555556,1915.803945901,0.0268608629,-0.0847296991,0.0864834852,5486305.077997,6250421.57802093
2326,812,812_B22,B,85,135,50,26.4,27.7,6.7,5.6,7064,0.38,41,28.8,6.8,1,1,clase 1,NA,1.1,63.9861450195,44720.70703125,361.258026123,-7.7138366699,3.9253315926,0.137367785,12.618596077,1.2123527527,0,296.9024777483,7.7900926164,3236.3055555556,1915.803945901,0.0268608629,-0.0847296991,0.0864834852,5486305.077997,6250421.57802093
2327,812,812_B3,BC,135,185,50,21.8,22.1,7,5.8,7418,0.13,28.6,30.6,8.5,1,1,clase 1,NA,1.1,63.9861450195,44720.70703125,361.258026123,-7.7138366699,3.9253315926,0.137367785,12.618596077,1.2123527527,0,296.9024777483,7.7900926164,3236.3055555556,1915.803945901,0.0268608629,-0.0847296991,0.0864834852,5486305.077997,6250421.57802093
2328,812,812_C,C,185,200,15,19.7,19.8,6.6,5.5,7064,0.09,27.4,28.2,11,1,1,clase 1,NA,1.1,63.9861450195,44720.70703125,361.258026123,-7.7138366699,3.9253315926,0.137367785,12.618596077,1.2123527527,0,296.9024777483,7.7900926164,3236.3055555556,1915.803945901,0.0268608629,-0.0847296991,0.0864834852,5486305.077997,6250421.57802093
2329,813,813_A1,A,0,20,20,19.8,25.6,6.3,5.3,2569,1.96,27,33.1,10.7,3,2,clase 5,NA,3.2,51.8767127991,27699.03515625,725.6236572266,3.2221274376,3.6841762066,0.1897378266,11.7811222076,1.9410476685,0,297.1880295249,7.7916997546,3209.3402777778,1763.4897386224,0.0256989386,-0.0750886682,0.1030059805,5499306.07800299,6261498.27801893
