"","id.p","CEC.A","CEC.B","CEC.C","OC.A","OC.B","OC.C","clay.A","clay.B","clay.C","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","ndwi.a","ndwi.b","ndwi.bsd","X","Y"
"101",555,23,29.0230769230769,31.1,2.44,0.311692307692308,0.12,25.5,40.5169230769231,19.1,40.6542053223,45397.3359375,706.1360473633,-20.6564311981,2.9389326572,0.2594335377,13.3859920502,-2.4346466064,0,296.3130575656,7.9272923239,4529.5138888889,1259.4795183521,0.0062755204,-0.0175808477,0.0507882069,5534925.47800243,6210276.57801673
"102",556,22.5384615384615,31.1384615384615,25.3,2.23307692307692,0.435384615384615,0.15,26.0076923076923,43.5384615384615,27,52.5576019287,49498.1015625,0,-2.8167846203,6.7534608841,0.090847455,12.9998750687,3.5077667236,1.931034565,296.7372740343,8.0667008723,3629.9236111111,1916.5488508307,0.0554300353,-0.1448177287,0.0688172358,5524739.3779969,6214056.4780255
"103",558,27.1,36.7806451612903,40.4,2.5,0.675806451612903,0.09,33.1,49.7483870967742,20.4,39.6745834351,47235.03515625,371.0899658203,9.5495729446,2.2480659485,0.4028377533,10.079788208,9.2710914612,0,296.5202071378,7.7265814612,3669.2569444444,1483.0477112816,-0.0009897155,-0.0439823863,0.0461542874,5539098.27800389,6205382.67802341
"104",560,19.304347826087,32.425,26.5,1.86304347826087,0.567083333333333,0.32,27.4260869565217,45.1458333333333,37.1,41.1879386902,50827.6015625,212.1380157471,-11.1176376343,3.6927506924,0.0446499139,10.8371162415,6.3496208191,0,296.6327114529,7.6578607239,3724.6527777778,1580.7730220133,-0.0081424624,-0.0365165392,0.0546493167,5531714.07800395,6205898.6780218
"105",561,23.3,33.9645833333333,34.5,1.96,0.941458333333333,0.11,30.3,41.20625,28.3,36.1160202026,50411.7421875,268.335723877,-37.6379928589,1.6591625214,0.5615591407,10.8468093872,0.5358772278,0,296.4189706241,7.8677212929,3475.375,1635.2965124302,-0.0022219554,-0.0457882424,0.0702334493,5536150.87800166,6203429.17802761
"106",565,32.1,41.965,25.1,2.54,0.3917,0.12,31.1,45.43,28.5,52.9206352234,49394.51171875,30.0008449554,-4.3606762886,6.7982316017,0.0415287726,12.0217065811,3.6052742004,0.7241379023,296.7372740343,8.0667008723,3671.0277777778,1877.239190472,0.0552409067,-0.1269722967,0.077654421,5525067.37799997,6213833.47801694
"107",570,22.4,32.3923076923077,31.7777777777778,1.90703703703704,0.485384615384615,0.111111111111111,27.4740740740741,46.1153846153846,24.2555555555556,41.9069786072,26524.6171875,607.4708251953,2.3643088341,2.8917858601,0.2416611165,11.3116731644,6.8931846619,0,296.9262717885,7.9230103537,3702.8611111111,1294.6452850652,0.0146242171,-0.0814080395,0.0748951046,5549527.8779968,6223274.67801686
"108",572,17.5586206896552,28.4742857142857,24.4,1.44620689655172,0.442285714285714,0.11,23.0896551724138,41.4971428571429,26.1,19.2174949646,16807.16796875,1242.0494384766,-6.4963302612,2.5387248993,0.4159252048,11.4108028412,1.9044342041,0,296.8730290581,7.7251591585,3686.9027777778,1450.9269056664,0.0151611506,-0.0680354739,0.0601517716,5548785.37799688,6236187.87802592
"109",573,19.1,31.225,29.7,1.457,0.527,0.07,23.975,44.12,33.1,22.1158943176,13003.6962890625,902.5219726563,4.2717308998,1.0185130835,0.6268761158,9.5281047821,5.0355415344,0,296.6067257068,7.7770456638,3600,1715.6181540045,0.0115362266,-0.0956508521,0.0710434856,5568917.47799903,6229442.57802566
"110",575,18.2,30.2349206349206,31.7,1.13,0.420634920634921,0.17,29.3,44.4,44.7,26.2643680573,6894.7788085938,540.0151977539,-11.070857048,4.8099355698,0.1467250586,12.2812700272,1.1066303253,0,296.4111342957,7.7777016387,3127.1597222222,775.0940539652,-0.0114714582,-0.037872597,0.0301773413,5574398.77799614,6232482.97802419
"111",576,19.1741935483871,24.2,26,1.47903225806452,0.408717948717949,0.09,25.158064516129,35.5358974358974,25.4,26.0276489258,7008.7783203125,295.4740600586,-13.1870908737,4.8633899689,0.1448693573,12.0213356018,0.2951526642,0,296.4106337445,7.8092320574,3458.4097222222,1283.4399820783,-0.0037285441,-0.0580631491,0.0419694096,5574521.27800411,6232183.97801797
