"","id.p","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf"
"425","481","B",40,68,28,21.6,22.7,7.1,5.3,2063,0.39,31.4,18,18.9
"426","481","B",68,95,27,31.5,30.1,8.1,6.2,1108,0.28,29.3,19.1,19.9
"691","481","BC",95,125,30,28.3,27.6,8.1,6.3,764,0.19,21.1,24.2,22.9
"430","482","A",0,20,20,17.9,20.9,6.5,5.5,4646,1.91,26.8,27.7,13.9
"431","482","A",20,29,9,16.4,18.4,6.6,5.4,4646,1.47,27.4,24.8,14.5
"434","482","B",42,75,33,22.8,25,7,5.3,2747,0.54,27.9,23.3,12
"433","482","B",75,95,20,22.2,23.6,7,5.3,3394,0.28,29.5,23.4,16.8
"436","482","C",130,200,70,20,18.4,8.3,6.5,2121,0.08,20,26.3,14.4
"437","482","C",200,240,40,NA,17.8,9,7.3,1555,NA,19.5,34,11.5
"439","483","A",0,17,17,21,22.9,6.1,5.1,3398,2.12,24,29.9,15.2
"438","483","A",17,30,13,19.8,21.4,6.1,5.3,3908,1.78,28.6,27.1,16.7
"441","483","B",40,67,27,27,29.5,6.8,5.1,2004,0.73,41.5,20.3,12
"442","483","B",67,97,30,26.6,26.4,6.2,5.1,2123,0.57,41.3,20,12.7
"445","483","C",135,155,20,20.1,20,7.1,5.4,4115,0.11,23.8,23.8,19
"446","485","A",0,22,22,23.8,27.4,6,5.2,3546,2.45,27.9,30.7,14.1
"448","485","B",35,70,35,28,30,6.8,5.1,2644,0.35,37.1,24.1,11.5
"449","485","B",70,95,25,26.2,28.3,7,5.1,3546,0.29,30.9,24.8,15.4
"452","485","C",140,160,20,31.2,32.5,6.8,5.1,2258,0.43,40.4,20.6,7.3
"453","488","A",0,14,14,19.7,21.6,5.3,NA,2531,2.03,23.9,17.4,16.3
"454","488","A",14,30,16,18,20.2,5,NA,4673,1.69,23.8,19,17.9
"456","488","B",39,60,21,19.4,21.5,4.9,NA,3466,0.6,31.6,15.3,15.8
"457","488","B",60,82,22,19.6,22,4.8,NA,3116,0.45,31.5,12.7,18.6
"459","488","C",104,124,20,15.1,16.5,4.8,NA,3894,0.11,12.3,13.3,25.4
"460","489","A",0,16,16,26.3,31.5,6.5,5.6,2289,3.14,31.9,39.8,5.2
"461","489","A",16,33,17,30.7,34.3,6.3,5.5,3032,2.81,34.1,32.7,5.8
"465","489","B",74,91,17,23.1,26.2,7.1,5.6,3387,0.51,35.2,41.4,5.9
"464","489","B",91,141,50,33.9,35.3,7,5.5,1322,0.29,52.7,23.8,6.1
"735","489","BC",141,161,20,28.5,26.8,7.8,6.1,1775,0.14,28.9,34.8,9.9
"468","490","A",0,14,14,18.3,20.8,6.1,5.2,3871,2.05,24.9,30.6,14
"467","490","A",14,28,14,18.3,22.4,6.2,5.3,3709,2.19,26.2,28.6,11.8
"472","490","B",47,72,25,22.3,24.4,6.9,5.2,2225,0.68,42,15,12.1
"471","490","B",72,90,18,24.3,25.8,7,5.3,2338,0.41,33.4,23.1,13.4
"470","490","B",90,108,18,19.6,21.2,7.1,5.4,2693,0.3,29.8,21.4,19.5
"475","490","C",150,170,20,18.4,17.6,7.1,5.4,3387,0.06,24.4,23.4,17.2
"476","492","A",0,13,13,NA,17.5,9.1,7.5,795,1.57,19,33.9,6.1
"477","492","B",23,58,35,NA,27.3,8.9,7.3,726,0.44,29.3,30.2,5.6
"478","492","B",78,100,22,NA,33.6,8.8,7.1,879,0.22,28.1,30.7,4.8
"481","492","C",125,145,20,NA,25.4,8.7,7.1,1108,0.14,25.6,25.5,9.8
"483","494","A",0,10,10,23.2,28.2,5.9,5.3,1558,2.87,31.2,34.3,4.1
"484","494","A",10,19,9,21.7,26.6,5.7,5.1,1558,2.23,31.3,29.8,5.2
"485","494","B",29,44,15,26.6,28.9,6.9,5.7,1285,0.42,37.9,23.7,10
"486","494","B",44,95,51,34.4,36.3,7,5.7,1090,0.39,34.6,28.6,7.5
"79","494","BC",95,115,20,32.5,33.4,7.2,5.8,1480,0.26,20.3,33.5,10.4
"490","496","A",0,16,16,16.1,20.4,5.6,5.1,3778,2.1,22.9,16,17.5
"489","496","A",16,36,20,16.3,19.9,5.5,4.8,6231,1.6,25.9,15.9,17.9
"493","496","B",42,50,8,15.1,18.3,5.8,4.9,5063,0.72,27.4,14.7,19.6
"492","496","B",50,90,40,17.3,19.7,6.2,5,3622,0.38,29.2,14.3,20.7
"495","496","C",110,130,20,16.3,17.5,6.7,5.3,3855,0.2,15.9,11.8,31.6
"497","497","A",0,19,19,25,28.6,6.4,5.4,1101,2.1,27.5,31,3.4
"498","497","A",19,28,9,21.6,23.8,6.8,5.5,1113,1.23,32.4,33.5,3.4
"496","497","A",28,42,14,19.4,22.9,6.9,5.5,1123,1.04,33.7,33.7,3.5
"502","497","B",88,150,62,25.1,27.5,7.8,5.9,1101,0.28,30.6,30.6,8.9
"501","497","B",150,195,45,NA,24.8,8.5,6.6,1098,0.16,NA,NA,NA
"503","497","C",195,250,55,21.8,23.7,8.3,6.2,1098,0.09,12.9,24.7,17.2
"505","498","A",0,12,12,22.9,27.2,5.7,5.2,2128,2.51,26.3,21.6,18.1
"504","498","A",12,27,15,18.6,22.8,5.6,5,3858,1.97,25.4,22.2,18.5
"507","498","B",38,84,46,21.9,24.4,5.9,5,3016,0.53,33.1,18.9,20.1
"510","498","C",124,144,20,16.2,17.4,6.3,5.1,4213,0.13,12.5,15.5,25.9
"511","499","A",0,18,18,18.4,21.9,5.4,4.8,1615,1.98,25.8,24.3,17.9
"512","499","A",18,25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","499","B",36,74,38,24.4,26.7,6.5,4.9,2756,0.66,40.5,16,14.6
"516","499","C",110,130,20,18,19.5,7,5,4087,0.12,11.8,24.7,28.1
"524","502","B",33,64,31,25.2,26,8.9,7.1,631,0.45,31.8,23.2,9.3
"523","502","B",64,90,26,NA,34.3,9.1,7.4,735,0.34,39.3,12.6,8.6
"526","502","C",150,170,20,24.9,24.2,8.3,6.7,1277,0.13,16.3,21.4,17.7
"529","503","A",0,14,14,20.8,22.8,6.2,5.5,2005,2.26,20.6,27.1,10.9
"530","503","A",14,34,20,19.2,22.3,6.2,5.4,2497,1.92,24.6,26.7,11.1
"534","503","B",58,77,19,24.8,28.5,6.7,4.9,2829,0.51,39.8,18.4,10.1
"533","503","B",77,97,20,27.2,29.4,6.8,5,2604,0.42,39.4,21.2,12.9
"537","503","C",140,220,80,20.2,21.7,7,5.2,4117,0.09,19.3,26.2,17.9
"538","504","A",0,15,15,22.5,24.9,6.2,5.5,1665,1.65,24,26.1,14.9
"539","504","A",15,27,12,27.8,29.8,6.9,5.9,2546,1.24,27.8,23.3,9.7
"540","504","B",27,38,11,NA,29,8.2,7.2,2131,0.82,19.8,22.4,10.7
"541","504","C",38,45,7,NA,29.2,8.5,7.4,1874,0.58,NA,NA,NA
"546","506","A",0,16,16,19.6,22.2,6,5.1,2918,1.79,20.8,29.2,11.6
"545","506","A",16,26,10,18.9,22.1,6.2,5.2,4932,1.34,23.4,26,11
"550","506","B",34,44,10,18.3,20.1,6.6,5,4340,0.46,40.2,23.4,11.9
"548","506","B",44,75,31,25.8,28.1,6.9,5.1,2959,0.43,36.4,20.5,11.7
"549","506","B",75,100,25,25.2,25.7,6.9,5,2738,0.37,32.7,18.9,12.5
"552","506","C",150,200,50,21.2,22,7,5.3,2998,0.05,18.5,27.2,12
"560","508","B",29,55,26,NA,34.1,9.1,7.6,734,0.45,44.2,17.1,5.9
"559","508","B",55,80,25,NA,35.5,8.9,7.3,757,0.38,45.9,16.2,5.6
"562","508","C",105,130,25,24,23.5,8.6,6.9,1378,0.12,13.6,27.1,10.9
"565","509","A",0,30,30,23,25.1,6.5,5.6,2431,1.63,26.8,19.7,13.8
"566","509","B",30,72,42,26.4,28.6,6.9,5.5,2431,0.65,30.2,20.1,12
"568","509","C",135,160,25,NA,23.2,8.4,7.1,2836,0.16,17.6,21.7,13.5
"569","509","C",160,300,140,NA,27.4,8.5,7.3,2634,0.08,NA,NA,NA
"571","510","A",0,29,29,19.7,23.4,5.8,5.2,1742,1.83,25.3,18.5,19.4
"570","510","A",29,60,31,20.5,24.8,6.1,5.1,4818,1.6,28.8,22.7,9.8
"573","510","B",78,115,37,22.1,24.2,6.5,5,2795,0.45,37.1,21.8,9.6
"574","510","B",115,160,45,22.8,24.4,6.7,5.1,2674,0.29,28,23.5,12.8
"881","510","BC",190,220,30,19.9,20.8,6.8,5.2,3201,0.12,21,19.9,16.6
"577","511","A",0,13,13,29,29.3,6.7,6.6,425,4.65,14.9,26,12.3
"578","511","A",13,38,25,24.5,24.5,7.4,6.6,869,1.95,23,26.1,13.7
"580","511","B",48,66,18,32.5,32.6,6.3,5.5,675,0.81,45.2,17.5,9.5
"581","511","B",66,92,26,29.5,30.5,6.3,5.4,609,0.5,35.2,18,11.4
"584","511","C",130,210,80,22.2,23.6,6.3,5.2,719,0.23,14.3,27.9,18.2
"585","511","C",210,230,20,NA,27.7,8.2,7.3,849,0.21,NA,NA,NA
"586","513","A",0,12,12,19.9,25.1,6.2,5.4,2548,1.8,25,22.4,10.1
"590","513","B",30,55,25,30.6,34.5,6.7,5.2,2026,0.58,48.9,17.3,7.3
"589","513","B",55,80,25,30.3,33.3,6.8,5.2,2091,0.36,44.9,20.6,7.3
"592","513","C",110,150,40,NA,26,8.3,7.1,1219,0.12,22.5,21.5,9.2
"593","514","A",0,11,11,19.9,23.8,6.7,5.4,4734,1.25,27.6,19.9,15.7
"596","514","B",32,75,43,28.1,32.5,6.8,5.2,2593,0.56,40.9,18.7,12.2
"599","514","C",93,180,87,18.7,22.3,6.8,5,4143,0.17,11,23.6,20.7
"601","515","A",0,12,12,25.7,26.5,6,5.4,2836,2.4,21.7,31,12.6
"600","515","A",12,30,18,22.4,24.4,6.3,5.4,4457,2.27,20.3,29.8,12
"604","515","B",45,71,26,25.2,26.4,6.6,5,2795,0.56,42.1,17.8,11.7
"603","515","B",71,100,29,24.4,26.2,6.5,5,2755,0.46,36.5,19.5,14.8
"607","515","C",160,200,40,25.7,26.4,6.8,5.1,1949,0.16,18,26.5,10
"608","515","C",200,220,20,NA,31.2,8.1,6.8,828,0.13,NA,NA,NA
"609","516","A",0,18,18,19.2,22.2,5.6,5.2,2329,2.1,23,23,15.4
"613","516","B",35,47,12,20.1,21.5,6.3,5,3431,0.79,34.7,17.9,13.5
"612","516","B",47,62,15,23.8,25.5,6.5,4.9,3117,0.65,37.6,20,9.8
"614","516","B",62,95,33,22.8,24.6,6.3,5,2880,0.34,25.4,22.9,14.5
"617","516","C",114,215,101,22.5,22.5,8.1,6.7,2288,0.23,9.8,29.8,19.5
"616","516","C",215,260,45,NA,24.4,8.5,7.3,2467,0.13,NA,NA,NA
"618","517","A",0,12,12,19.4,20.7,5.8,5.2,2723,1.88,19.2,29,13.6
"619","517","A",12,22,10,19.4,20.8,6.1,5.4,4340,1.42,24.9,28.5,9
"624","517","B",30,42,12,21.9,22.9,6.5,5.2,3234,0.65,33.2,23.8,12.3
"622","517","B",42,81,39,26.5,29.3,6.5,5,2643,0.53,38.4,22.5,8.4
"623","517","B",81,100,19,25.1,26.3,6.5,4.9,2285,0.41,25.4,26.4,11.7
"621","517","B",100,125,25,23.5,23.7,6.6,5,2664,0.23,23.2,26.3,12.8
"626","517","C",160,210,50,21.6,21.9,6.9,5.3,3018,0.11,13,22,16
"628","518","A",0,10,10,21.3,22.9,5.7,4.9,2289,2.37,24.1,24.7,16
"627","518","A",10,28,18,19.3,20.9,6,4.9,3709,1.59,26.6,23.6,16.8
"630","518","B",28,53,25,21.4,23.4,6.2,4.5,2595,0.6,35.9,15.6,14.7
"629","518","B",53,74,21,21.5,21.9,6.4,4.6,2644,0.34,29.8,22.4,15
"632","518","C",96,150,54,19,19.6,6.6,4.8,3871,0.14,21.4,24.6,17.3
"633","519","A",0,12,12,18.8,20.3,6.2,4.9,2983,2.03,22,25.7,19.6
"634","519","A",12,30,18,19.7,21.6,6.5,5,4033,1.6,27.5,25.7,17.4
"636","519","B",41,68,27,23.1,26.4,6.7,4.6,2436,0.68,40.7,20.8,15
"637","519","B",68,87,19,22.3,23.2,6.7,4.6,2595,0.29,29.5,24.1,16.2
"639","519","C",110,160,50,19.7,19.5,6.8,4.8,3707,0.13,24,24.1,19.6
"641","520","A",0,8,8,20.7,24.5,6.1,5.3,1799,2.66,24.4,20.5,23.2
"640","520","A",8,26,18,20.1,23.7,6.4,5.3,2426,1.81,26.1,20.3,22.6
"643","520","B",26,47,21,24.5,27.7,6.8,5.1,1873,0.86,32,24,17.2
"642","520","B",47,67,20,22.4,25,7,5.1,1964,0.53,29.1,21,18.4
"645","520","C",86,125,39,17.9,19.1,6.8,5.2,1579,0.18,20,21.1,23.9
"647","521","A",0,13,13,14.7,17.9,5.9,5.1,2621,1.27,18.3,26.9,10.6
"646","521","A",13,18,5,17.1,19.8,6.2,5.2,3406,1.05,26.4,22.9,12.7
"650","521","B",34,62,28,28.2,31.6,6.9,5.3,2249,0.43,40.1,20.3,9.6
"651","521","B",62,90,28,28.2,30,7.1,5.3,2347,0.35,32.8,23,11.8
"653","521","C",110,140,30,26.1,27.4,7.1,5.4,2012,0.09,14.4,34,9.3
"654","521","C",140,180,40,NA,27.9,8.5,7.3,1736,0.08,13.5,21,4.9
"656","523","A",0,11,11,17.1,20,6,5.1,3602,1.76,22,22.5,15.3
"655","523","A",11,20,9,16.1,18.7,5.9,5.1,3782,1.37,22.1,26.2,14.6
"659","523","B",30,46,16,15.3,16.1,6.6,6,3422,0.4,26.2,20.9,14.5
"658","523","B",46,78,32,NA,26.2,7.3,6.3,1729,0.31,26.8,24.3,12.8
"662","523","C",116,145,29,22.1,22.1,7.6,6.6,2558,0.09,12.7,22.6,24
"663","524","A",0,28,28,21.5,24,6.9,5.7,2812,2.25,28.7,31.1,9.7
"667","524","B",35,52,17,23.3,25.5,7.3,5.3,2152,0.54,37.4,23.9,11.2
"665","524","B",52,76,24,27.4,29.9,7.4,5.4,1751,0.4,41.3,23.2,10.5
"666","524","B",76,122,46,23.8,25.3,7.4,5.5,1860,0.28,33,28.2,11
"669","524","C",180,230,50,35.7,35,7.8,6.3,894,0.16,28,37.3,7.5
"670","525","A",0,15,15,24.2,29.2,6.7,5.9,2630,1.84,26.3,22.6,13
"672","525","B",29,70,41,29,32,7.3,5.7,1756,0.48,37.6,21.8,9
"675","525","C",130,160,30,NA,26.8,8.5,7.4,2484,0.11,NA,NA,NA
"676","526","A",0,12,12,20.3,25,6.1,5.3,3055,1.8,23.5,19,16
"678","526","B",21,35,14,25.9,30.6,6.4,5,2546,1.1,40.4,15.8,10.7
"679","526","B",35,50,15,28,31.5,6.4,4.9,2588,0.65,39,18,12
"682","526","C",103,140,37,NA,24.5,8.6,7.1,2497,0.17,14.2,23,12.6
"683","528","A",0,18,18,24.8,26.1,6.8,6.1,3116,2.02,27.7,20.9,9.7
"684","528","A",18,24,6,26.6,27.9,7.2,6.3,2647,1.33,33.4,20.5,7.5
"686","528","B",30,60,30,34,37,7.2,6.3,1558,0.8,41.3,22.2,5
"685","528","B",60,84,24,28.9,31,7.4,6.3,1596,0.4,36.3,21.2,5.3
"688","528","C",105,140,35,NA,25.1,8.2,7.2,2013,0.17,19,24.1,6.2
"689","530","A",0,10,10,18.2,23.4,5.7,5.1,1643,1.91,23,24.5,9.5
"690","530","A",10,18,8,20.5,22.5,5.7,5.1,1728,1.87,23.9,26,10.1
"693","530","B",32,63,31,30.2,33.4,6.6,5.2,1789,0.8,46.4,20,6.4
"692","530","B",63,88,25,27.6,30.3,6.9,5.2,1997,0.46,37.5,25.5,8.9
"695","530","C",140,200,60,NA,26.6,8.5,7.4,2135,0.21,NA,NA,NA
"696","533","A",0,20,20,23.6,25.8,6.3,5.5,1394,1.62,25.9,20.7,19.1
"698","533","B",20,39,19,24.8,25.7,6.8,5.4,2080,0.47,32.6,14.8,18.1
"697","533","B",39,52,13,27.2,30.2,6.8,5.3,1726,0.6,36.9,17.4,15
"700","533","C",93,113,20,NA,19.1,8.6,7.3,3162,0.18,12.7,22.2,22.7
"702","534","A",0,15,15,19.2,21.5,6.2,5.1,2852,2.39,33.6,27.9,9
"701","534","A",15,30,15,17,22.7,6.5,5.2,3221,1.51,30.5,25.4,8.6
"704","534","B",41,80,39,33,36.7,7.1,5.1,1088,0.26,40.8,27.6,5
"705","534","B",80,108,28,33.4,35.9,6.9,4.8,1688,0.58,55.7,19.2,4.6
"707","534","C",152,180,28,30.2,30.3,7.6,5.4,2514,0.12,27.4,32.2,8.2
"710","535","A",0,17,17,17.1,23.1,5.9,5.1,3373,2.34,29.8,28.7,8.6
"709","535","A",17,40,23,17.5,22.1,6.5,5.2,4449,1.49,28.8,32.4,8.8
"713","535","B",50,85,35,33.4,35.5,6.4,4.7,1839,0.55,55.2,20.2,4.8
"712","535","B",85,126,41,29.6,29.1,6.6,5,1949,0.33,44.8,20.2,5.8
"923","535","BC",126,190,64,24.2,22.6,6.8,5.6,1533,0.29,41.3,28.1,4.6
"718","536","A",0,15,15,24,24.7,6,5.2,1854,2.46,22.6,30,4.5
"717","536","A",15,30,15,24.3,24.6,6.1,5.2,2801,1.69,29.2,29.7,7.6
"721","536","B",40,66,26,33.2,36.7,6.8,5.5,1616,0.71,50.6,16.5,7
"720","536","B",66,89,23,33.2,36.6,6.9,5.6,1538,0.45,42.3,22.1,8
"724","536","C",140,170,30,NA,29.3,8.4,7.4,1601,0.22,NA,NA,NA
"726","537","A",0,13,13,20.1,25,6.1,5.5,3445,1.89,22.6,19.5,9.1
"725","537","A",13,29,16,20.3,25.3,6,5.4,4256,1.61,27.2,21.4,6.2
"729","537","B",40,67,27,30.2,33.5,6.8,5.3,2013,0.71,46.2,16.9,4.4
"728","537","B",67,90,23,26.8,29.9,7,5.3,2167,0.42,37,18.3,7.7
"731","537","C",126,160,34,24.9,25.9,7.1,5.4,2787,0.23,22.8,27.8,7
"732","537","C",160,180,20,NA,24.1,8.2,7,2322,0.11,17.5,27.5,5.1
"733","538","A",0,15,15,18.8,25.7,5.8,4.9,2130,1.87,27.8,23.4,9.9
"734","538","A",15,27,12,21.3,27,6,5.1,2505,1.49,30.2,24.5,11.2
"736","538","B",35,60,25,33.9,38.6,6.8,5.5,1834,0.76,52.1,16.8,6.4
"737","538","B",60,90,30,30.7,35.2,7,5.4,1807,0.39,42.4,22.2,7.9
"740","538","C",155,175,20,NA,26.1,8.4,7.1,1991,0.15,NA,NA,NA
"741","539","B",16,40,24,23.6,39.2,9.1,7.4,951,0.65,38.5,26.6,8.2
"743","539","C",60,90,30,NA,26.2,9.2,7.5,1338,0.11,20.1,31.2,15.6
"744","539","C",90,120,30,NA,20.5,9.2,7.5,1647,0.03,17.7,27.3,15
"745","539","C",120,140,20,20.8,17.9,8.2,6.1,2456,0.05,12.9,25.5,16.6
"747","540","A",0,8,8,18.5,20.7,5.6,4.5,1674,2.36,27.6,35.9,8.9
"748","540","A",8,16,8,20.3,22.7,6.5,5.3,2268,1.28,30.9,40.7,8.3
"752","540","B",25,43,18,39.2,44.8,7.2,5.7,1188,0.53,63.8,20.9,2.9
"750","540","B",43,73,30,38.1,41.4,7.3,5.5,1215,0.4,61.2,22.8,3.7
"751","540","B",73,88,15,28.8,31.2,7.3,5.8,1417,0.22,40.4,31.2,6.1
"755","540","C",155,210,55,38.2,33,8.3,7,1215,0.1,27,39.1,5.7
"754","540","C",210,230,20,NA,37.2,8.5,6.7,1323,0.1,22.5,32.9,6.9
"757","541","A",0,15,15,20.2,26.9,6.2,5.2,NA,2,22.4,30.9,15.1
"756","541","A",15,30,15,15.6,22.6,6.5,5.2,NA,1.84,23.6,30.3,14.6
"761","541","B",52,90,38,28.6,37.8,6.7,5.2,NA,0.39,42,23.6,6.2
"760","541","B",90,114,24,27.6,34.2,6.9,5.2,NA,0.26,29.8,27.7,7.2
"763","541","C",170,215,45,46.1,52,7.5,5.7,NA,0.13,31.7,47.3,4.5
"766","543","A",0,15,15,22.9,28.7,5.6,5.1,1.084,2.52,34.4,32.3,3.2
"765","543","A",15,45,30,18.5,21.7,5.9,5.2,1.432,1.1,35.2,30.6,2.8
"768","543","B",72,100,28,28.5,31.9,6.7,5.2,1.819,0.36,42.6,22.1,6.1
"770","543","C",145,165,20,18.2,20.1,7,5.3,2.942,0.21,12.6,28,13.2
"772","545","A",0,10,10,20,23.4,5.8,5.2,NA,2.26,24.1,31.3,13.9
"771","545","A",10,25,15,18,22.5,5.9,5,NA,2.14,24.2,33.5,10.8
"775","545","B",38,68,30,31.4,37.8,6.7,5.1,NA,0.6,52.8,22.5,4.9
"774","545","B",68,122,54,27.5,30.5,7.1,5.2,NA,0.23,37.2,27.9,9.8
"777","545","C",180,200,20,27.9,26,7.3,5.7,NA,0.05,28.6,31.8,7.9
"778","549","A",0,12,12,17.7,23.6,6.2,4.5,789,2.02,29,28,6.4
"779","549","A",12,30,18,21.6,25.2,6.2,5.2,1381,1.08,34,28.7,6.2
"781","549","B",30,42,12,23.8,26.9,6.7,5.4,1775,0.65,39.9,25.9,5.9
"780","549","B",42,68,26,31.4,35,7.3,5.7,1649,0.28,47,23.7,4.7
"784","549","C",130,160,30,31.3,32,7.4,5.8,1909,0.13,29.2,28.6,0
"785","550","A",0,16,16,18.2,22.2,6.3,5.4,NA,2.3,26.1,19.3,7.2
"786","550","A",16,28,12,21.2,22.9,6.5,5.4,NA,1.7,28.6,30.4,7.9
"788","550","B",38,56,18,37.4,40.7,6.8,5,NA,0.75,60.2,18,5.1
"789","550","B",56,97,41,31.6,34.3,7,5,NA,0.4,42.3,26.6,7.3
"791","550","C",180,225,45,34.9,32.5,7.9,5.9,NA,0.15,30.2,25.1,10.7
"793","553","A",0,12,12,21.7,21.4,6.6,5.6,2328,2.95,21.8,27.7,12.1
"796","553","B",17,39,22,29.3,28,8.5,6.3,1020,0.89,40.2,22.6,6.9
"795","553","B",39,50,11,37.2,41.5,8.8,6.8,593,0.5,50.3,20.8,5.9
"799","553","C",100,140,40,21.6,20.9,8,6.5,1757,0.08,26.2,25.8,9.9
"800","554","A",0,15,15,22.2,23.3,6.3,5.3,2646,1.75,21.5,20.8,16.9
"801","554","A",15,27,12,23.4,24.2,6.5,5.1,7020,1.55,26.7,25.6,12
"804","554","B",36,55,19,30.1,30.7,6.9,5.1,2403,0.63,43.3,41.9,9.7
"803","554","B",55,78,23,33,32.9,6.9,5.1,2079,0.39,39.2,38.1,9.8
"100","554","BC",78,115,37,29.2,26.8,6.8,5.7,2970,0.23,34.2,32.8,10.7
"807","555","A",0,22,22,18.9,23,6,5.2,2189,2.44,25.5,33.2,12.3
"810","555","B",55,83,28,24.8,31.3,6.5,4.9,1984,0.38,44.9,25,5.7
"811","555","B",83,120,37,24.4,27.3,6.7,4.9,2480,0.26,37.2,27.1,6.7
"813","555","C",185,205,20,31.1,31.1,6.7,5.3,2082,0.12,19.1,31.4,9.6
"814","556","A",0,18,18,19,23,6.5,5.4,NA,2.39,25.3,27.6,15.8
"815","556","A",18,26,8,18.2,21.5,6.4,5.3,NA,1.88,27.6,28.3,14.9
"817","556","B",35,75,40,27.4,33.1,6.5,4.9,NA,0.52,47.5,22.9,12.5
"818","556","B",75,100,25,24.4,28,6.8,5.1,NA,0.3,37.2,28.7,15.9
"820","556","C",170,190,20,25.3,25.3,7,5.8,NA,0.15,27,29.9,12.1
"821","558","A",0,15,15,25.4,27.1,6.5,5.6,1406,2.5,33.1,21.4,11
"824","558","B",23,61,38,32.4,37.4,6.9,5.6,1230,0.85,54.2,17.5,5.3
"823","558","B",61,85,24,31.6,35.8,7.2,5.6,1377,0.4,42.7,23.2,5.8
"827","558","C",185,205,20,NA,40.4,8.4,6.9,991,0.09,20.4,27.7,9.9
"829","560","A",0,15,15,17.5,19.2,5.7,5.1,1692,1.95,26.8,29.7,9.2
"828","560","A",15,23,8,16.2,19.5,5.8,5.1,2131,1.7,28.6,26.1,10
"832","560","B",30,56,26,29.2,33.8,6.4,5,1560,0.7,49.5,19.4,6.4
"831","560","B",56,78,22,27.7,30.8,6.8,5.2,1626,0.41,40,26.9,6.2
"1053","560","BC",78,100,22,24.8,26.5,7,5.2,2043,0.32,37.1,26.4,6.5
"835","561","A",0,12,12,22.1,23.3,7.2,5.3,1825,1.96,30.3,29.7,8.4
"837","561","B",12,43,31,27,28.9,8.7,6.5,1076,1.2,34.3,30.8,7.5
"836","561","B",43,60,17,42.7,43.2,9.5,7.3,659,0.47,53.8,21.1,5.8
"840","561","C",195,215,20,33,34.5,8.2,6.6,1129,0.11,28.3,46.8,5.1
"841","565","A",0,14,14,25.7,32.1,6.3,NA,NA,2.54,31.1,NA,8.1
"843","565","B",24,64,40,38.9,46.3,7.1,NA,NA,0.65,52.6,NA,2.7
"844","565","B",64,97,33,38.5,45.6,7.1,NA,NA,0.26,49.2,NA,3.5
"845","565","B",97,124,27,26.6,31.1,7.1,NA,NA,0.17,30.2,NA,6.9
"109","565","BC",124,148,24,24.1,25.1,7.5,NA,NA,0.12,28.5,NA,8.7
"855","568","A",0,18,18,19,22.8,6.1,5.2,2621,2.02,23.8,23.3,13
"857","568","B",27,60,33,31,34.2,6.9,5.4,2018,0.7,48.1,15.9,10.1
"858","568","B",60,80,20,29.1,31.3,7.2,5.5,2205,0.4,38.4,21.8,10.7
"861","568","C",135,155,20,NA,26.3,8.5,7.5,1971,0.18,NA,NA,NA
"863","570","A",0,14,14,19.1,22.4,6.1,5.4,1394,2.35,26.8,26.2,10.9
"862","570","A",14,27,13,18.7,22.4,6.5,5.4,4015,1.43,28.2,27.2,8
"865","570","B",41,59,18,29.1,32.5,6.4,4.8,1825,0.55,48.7,17.2,8.3
"866","570","B",59,80,21,28.3,32.3,6.6,4.9,1394,0.43,43.9,19.6,8.7
"870","570","C",180,250,70,NA,32,8.3,7.2,1742,0.12,24.3,30.1,2.9
"869","570","C",225,245,20,NA,31,8.4,7.2,1742,0.08,24.1,28.1,6.2
"871","572","A",0,16,16,13,15.9,5.9,4.9,1038,1.5,20.4,23.4,13.5
"872","572","A",16,29,13,14.9,19.6,5.5,4.7,1056,1.38,26.4,23.9,5.6
"876","572","B",49,73,24,25.9,28.8,6.2,4.8,1082,0.54,45.5,21.1,6.6
"875","572","B",73,95,22,27.2,28.2,6.6,5.1,1067,0.48,42.8,22.6,6.4
"877","572","B",95,119,24,26.6,28.4,6.7,5.1,1075,0.31,36.3,24.1,4.2
"1193","572","BC",119,220,101,23.8,24.4,6.8,5.2,1062,0.11,26.1,26.1,9.2
"879","573","A",0,11,11,16.1,19.1,5.9,5,4435,1.52,23.3,23.3,10
"880","573","A",11,20,9,15.9,19.1,5.9,5.1,4878,1.38,24.8,24.3,10.6
"883","573","B",30,57,27,28.9,31.5,6.3,4.9,2661,0.67,46.1,17.2,5.8
"884","573","B",57,90,33,29.9,31,6.5,5.1,3991,0.41,42.5,19,3.6
"887","573","C",190,210,20,NA,29.7,8.3,7.3,2059,0.07,33.1,19.5,5.3
"888","575","A",0,18,18,15.9,18.2,5.9,5,3919,1.13,29.3,31.3,3.1
"890","575","B",28,70,42,26.3,29.2,6.2,4.9,2059,0.6,43,42.5,3.2
"889","575","B",70,110,40,27.9,29.6,6.8,5.3,2059,0.42,47.3,20.6,3.2
"891","575","B",110,154,44,30.9,31.8,7,5.6,1742,0.25,43.1,23,4.1
"1211","575","BC",154,200,46,30.6,31.7,7.2,5.6,2059,0.17,44.7,24.4,3.9
"896","576","A",0,10,10,15,18.9,5.9,5.5,3104,1.62,17.8,28.9,4.3
"894","576","A",10,21,11,15.8,19.4,6.3,5.2,5765,1.55,27.9,21.2,6.7
